county,precinct,party,district_no,total_votes
ALAMANCE,01_PATTERSON,DEM,2,551
ALAMANCE,ABSENTEE BY MAIL,DEM,2,0
ALAMANCE,PROVISIONAL,DEM,2,0
ALAMANCE,CURBSIDE,DEM,2,0
CHATHAM,3_ALBRIGHT,DEM,2,143
CHATHAM,6_BENNETT,DEM,2,73
CHATHAM,9_BONLEE,DEM,2,133
CHATHAM,18_GOLDSTON,DEM,2,254
CHATHAM,21_HADLEY,DEM,2,198
CHATHAM,24_HARPERS CROSSROADS,DEM,2,60
CHATHAM,30_HICKORY MOUNTAIN,DEM,2,131
CHATHAM,42_NEW HOPE,DEM,2,183
CHATHAM,45_OAKLAND,DEM,2,133
CHATHAM,75_EAST WILLIAMS,DEM,2,307
CHATHAM,85_WEST SILER CITY,DEM,2,189
CHATHAM,ESC114_EAST SILER CITY,DEM,2,312
CHATHAM,ONE STOP,DEM,2,4514
CHATHAM,ABSENTEE BY MAIL,DEM,2,215
CHATHAM,PROVISIONAL,DEM,2,28
CUMBERLAND,G7A_BLACK RIVER-G7,DEM,2,261
CUMBERLAND,G1A_CROSS CREEK #02-G1,DEM,2,983
CUMBERLAND,CC04_CROSS CREEK #04,DEM,2,318
CUMBERLAND,CC06_CROSS CREEK #06,DEM,2,328
CUMBERLAND,CC07_CROSS CREEK #07,DEM,2,257
CUMBERLAND,CC08_CROSS CREEK #08,DEM,2,293
CUMBERLAND,CC10_CROSS CREEK #10,DEM,2,431
CUMBERLAND,G3B_CROSS CREEK #11-G3,DEM,2,378
CUMBERLAND,CC12_CROSS CREEK #12,DEM,2,255
CUMBERLAND,CC14_CROSS CREEK #14,DEM,2,673
CUMBERLAND,CC15_CROSS CREEK #15,DEM,2,620
CUMBERLAND,CC18_CROSS CREEK #18,DEM,2,346
CUMBERLAND,G4B_CROSS CREEK #20-G4,DEM,2,538
CUMBERLAND,CC24_CROSS CREEK #24,DEM,2,405
CUMBERLAND,G4A_CROSS CREEK #30-G4,DEM,2,525
CUMBERLAND,CC31_CROSS CREEK #31,DEM,2,720
CUMBERLAND,CC34_CROSS CREEK #34,DEM,2,511
CUMBERLAND,G8B_CUMBERLAND #1A-G8,DEM,2,588
CUMBERLAND,CU02_CUMBERLAND #2,DEM,2,661
CUMBERLAND,G8C_CUMBERLAND #3-G8,DEM,2,882
CUMBERLAND,G8A_CUMBERLAND #4-G8,DEM,2,1221
CUMBERLAND,EO61-1_EASTOVER #1,DEM,2,592
CUMBERLAND,EO61-2_EASTOVER #2,DEM,2,521
CUMBERLAND,G8D_HOPE MILLS #1A-G8,DEM,2,787
CUMBERLAND,G9B_HOPE MILLS #2-G9B-1,DEM,2,1089
CUMBERLAND,G9B_HOPE MILLS #2-G9B-2,DEM,2,997
CUMBERLAND,G9A_HOPE MILLS #3-G9,DEM,2,761
CUMBERLAND,G10B_HOPE MILLS #4-G10,DEM,2,768
CUMBERLAND,G1B_JUDSON-VANDER-G1,DEM,2,1024
CUMBERLAND,G11B_MANCHESTER-G11,DEM,2,898
CUMBERLAND,G3A_PEARCES MILL #2-G3A-1,DEM,2,1436
CUMBERLAND,G3A_PEARCES MILL #2-G3A-2,DEM,2,767
CUMBERLAND,G3C_PEARCES MILL #3-G3,DEM,2,380
CUMBERLAND,G4C_PEARCES MILL #4-G4,DEM,2,712
CUMBERLAND,SH77_SHERWOOD,DEM,2,587
CUMBERLAND,G11A-1_SPRING LAKE-G11,DEM,2,1180
CUMBERLAND,G11A-2_SPRING LAKE-G11,DEM,2,1082
CUMBERLAND,G10C_STONEY POINT #1-G10,DEM,2,621
CUMBERLAND,G10A_STONEY POINT #2-G10,DEM,2,1121
CUMBERLAND,G7B_WADE-G7,DEM,2,220
CUMBERLAND,ONE STOP,DEM,2,564
CUMBERLAND,TRANSFER,DEM,2,30
CUMBERLAND,PROVISIONAL,DEM,2,200
CUMBERLAND,ABSENTEE BY MAIL,DEM,2,779
HARNETT,PR01_ANDERSON CREEK,DEM,2,679
